Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
Nymphomaniac: Vol. I,2013,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf",6.9,117,Drama,2013-03-06,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
Safety Not Guaranteed,2012,Colin Trevorrow,"Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni",6.9,86,Adventure,2012-06-15,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.
Hector and the Search for Happiness,2014,Peter Chelsom,"Simon Pegg, Rosamund Pike, Tracy-Ann Oberman, Jean Reno",6.9,120,Adventure,2014-08-14,A psychiatrist searches the globe to find the secret of happiness.
Frank,2014,Lenny Abrahamson,"Michael Fassbender, Domhnall Gleeson, Maggie Gyllenhaal, Moira Brooker",6.9,95,Comedy,2014-09-05,"Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank."
Another Earth,2011,Mike Cahill,"Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava",6.9,92,Drama,2011-10-12,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident."
Hesher,2010,Spencer Susser,"Joseph Gordon-Levitt, Devin Brochu, Natalie Portman, Rainn Wilson",6.9,106,Drama,2010-06-25,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.
World's Greatest Dad,2009,Bobcat Goldthwait,"Robin Williams, Daryl Sabara, Morgan Murphy, Naomi Glick",6.9,99,Comedy,2009-09-24,"When his son's body is found in a humiliating accident, a lonely high school teacher inadvertently attracts an overwhelming amount of community and media attention after covering up the truth with a phony suicide note."
Whip It,2009,Drew Barrymore,"Elliot Page, Drew Barrymore, Kristen Wiig, Sarah Habel",6.9,111,Drama,2009-10-02,"In Bodeen, Texas, an indie-rock-loving misfit finds a way of dealing with small-town misery after discovering a roller-derby league in nearby Austin."
The Wackness,2008,Jonathan Levine,"Josh Peck, Ben Kingsley, Olivia Thirlby, Famke Janssen",6.9,99,Comedy,2008-08-01,"It's the summer of 1994, and the streets of New York are pulsing with hip-hop. Set against this backdrop, a lonely teenager named Luke Shapiro spends his last summer before university selling marijuana throughout New York City, tr..."
Water for Elephants,2011,Francis Lawrence,"Robert Pattinson, Reese Witherspoon, Christoph Waltz, Paul Schneider",6.9,122,Drama,2011-04-22,"Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife."
Ma Rainey's Black Bottom,2020,George C. Wolfe,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo",6.9,94,Drama,2020-12-18,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.
Black Snake Moan,2006,Craig Brewer,"Christina Ricci, Samuel L. Jackson, Justin Timberlake, S. Epatha Merkerson",6.9,116,Drama,2006-03-02,"A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, looks everywhere for love, never quite finding it."
The Devil Wears Prada,2006,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",6.9,109,Comedy,2006-06-30,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Charlie Bartlett,2007,Jon Poll,"Anton Yelchin, Robert Downey Jr., Hope Davis, Kat Dennings",6.9,97,Comedy,2007-02-22,A rich kid becomes the self-appointed psychiatrist to the student body of his new high school.
A Good Year,2006,Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard",6.9,117,Comedy,2006-11-10,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold."
Syriana,2005,Stephen Gaghan,"George Clooney, Matt Damon, Amanda Peet, Kayvan Novak",6.9,128,Drama,2005-12-09,A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.
Calendar Girls,2003,Nigel Cole,"Helen Mirren, Julie Walters, Penelope Wilton, John Alderton",6.9,108,Comedy,2003-01-01,A Women's Institute chapter's fundraising effort for a local hospital by posing nude for a calendar becomes a media sensation.
The Cooler,2003,Wayne Kramer,"William H. Macy, Maria Bello, Alec Baldwin, Shawn Hatosy",6.9,101,Drama,2003-01-16,"In an old school Las Vegas casino, its top gambling jinx breaks his curse when he falls in love, much to his boss' consternation."
Igby Goes Down,2002,Burr Steers,"Kieran Culkin, Susan Sarandon, Jeff Goldblum, Claire Danes",6.9,98,Comedy,2002-10-04,A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.
Secretary,2002,Steven Shainberg,"James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren",6.9,107,Comedy,2002-10-11,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
The Majestic,2001,Frank Darabont,"Jim Carrey, Martin Landau, Bob Balaban, Jeffrey DeMunn",6.9,152,Drama,2001-12-21,"In 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son."
Shadow of the Vampire,2000,E. Elias Merhige,"John Malkovich, Willem Dafoe, Udo Kier, Cary Elwes",6.9,92,Drama,2000-01-26,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.
Bicentennial Man,1999,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt",6.9,132,Drama,1999-12-17,An android endeavors to become human as he gradually acquires emotions.
Any Given Sunday,1999,Oliver Stone,"Al Pacino, Dennis Quaid, Cameron Diaz, James Woods",6.9,162,Drama,1999-12-22,A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.
He Got Game,1998,Spike Lee,"Denzel Washington, Milla Jovovich, Ray Allen, Rosario Dawson",6.9,136,Drama,1998-05-01,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.
What Dreams May Come,1998,Vincent Ward,"Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow",6.9,113,Drama,1998-10-02,"Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
Velvet Goldmine,1998,Todd Haynes,"Ewan McGregor, Jonathan Rhys Meyers, Christian Bale, Toni Collette",6.9,118,Drama,1998-10-23,"In 1984, British journalist Arthur Stuart investigates the career of 1970s glam superstar Brian Slade, who was heavily influenced in his early years by hard-living and rebellious American singer Curt Wild."
That Thing You Do!,1996,Tom Hanks,"Tom Hanks, Liv Tyler, Charlize Theron, Tom Everett Scott",6.9,108,Comedy,1996-10-04,"A local Pennsylvania band scores a one-hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from their manager."
Fly Away Home,1996,Carroll Ballard,"Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney",6.9,107,Adventure,1996-09-13,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.
Babe,1995,Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh, Miriam Margolyes",6.9,91,Comedy,1995-08-04,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
Homeward Bound: The Incredible Journey,1993,Duwayne Dunham,"Michael J. Fox, Sally Field, Don Alder, Ed Bernard",6.9,84,Adventure,1993-02-12,"A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners."
Naked Lunch,1991,David Cronenberg,"Peter Weller, Judy Davis, Ian Holm, Julian Sands",6.9,115,Drama,1991-04-24,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa."
My Girl,1991,Howard Zieff,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd, Jamie Lee Curtis",6.9,102,Comedy,1991-11-27,A young girl on the threshold of her teen years finds her life turning upside down when she is accompanied by an unlikely friend.
Scrooged,1988,Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover",6.9,101,Comedy,1988-11-23,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve."
Beaches,1988,Garry Marshall,"Bette Midler, Barbara Hershey, John Heard, Spalding Gray",6.9,123,Comedy,1988-01-13,"A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years."
Fatal Attraction,1987,Adrian Lyne,"Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen",6.9,119,Drama,1987-09-18,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.
Ladyhawke,1985,Richard Donner,"Matthew Broderick, Rutger Hauer, Michelle Pfeiffer, Leo McKern",6.9,121,Adventure,1985-04-12,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston."
Play Misty for Me,1971,Clint Eastwood,"Clint Eastwood, Jessica Walter, Donna Mills, John Larch",6.9,102,Drama,1971-11-12,The life of a disc jockey is turned upside down after a romantic encounter with an obsessed fan.
Love Story,1970,Arthur Hiller,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland",6.9,100,Drama,1970-12-16,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.
Arctic,2018,Joe Penna,"Mads Mikkelsen, Maria Thelma Smáradóttir, Tintrinai Thikhasuk",6.8,98,Adventure,2018-01-31,A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown.
A Ghost Story,2017,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",6.8,92,Drama,2017-07-28,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
Calibre,2018,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie",6.8,101,Drama,2018-06-29,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.
Wildlife,2018,Paul Dano,"Ed Oxenbould, Jake Gyllenhaal, Carey Mulligan, Travis W Bruyer",6.8,105,Drama,2018-01-01,A teenage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job.
To the Bone,2017,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson, Ziah Colon",6.8,107,Drama,2017-07-14,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life."
Under the Shadow,2016,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Arash Marandi",6.8,84,Drama,2016-10-07,"As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home."
The Diary of a Teenage Girl,2015,Marielle Heller,"Bel Powley, Alexander Skarsgård, Kristen Wiig, Christopher Meloni",6.8,102,Comedy,2015-08-28,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.
Man Up,2015,Ben Palmer,"Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter",6.8,88,Comedy,2015-11-13,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend."
Draft Day,2014,Ivan Reitman,"Kevin Costner, Chadwick Boseman, Jennifer Garner, Frank Langella",6.8,110,Drama,2014-04-11,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with N..."
Trouble with the Curve,2012,Robert Lorenz,"Clint Eastwood, Amy Adams, John Goodman, Justin Timberlake",6.8,111,Drama,2012-09-21,"A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout, by helping him in a recruiting trip which could be his last."
The First Time,2012,Jonathan Kasdan,"Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville",6.8,95,Comedy,2012-02-07,A shy senior and a down-to-earth junior fall in love over one weekend.
Stoker,2013,Park Chan-wook,"Mia Wasikowska, Nicole Kidman, Matthew Goode, Dermot Mulroney",6.8,99,Drama,2013-03-01,"After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated..."
The Vow,2012,Michael Sucsy,"Rachel McAdams, Channing Tatum, Sam Neill, Jessica Lange",6.8,104,Drama,2012-02-10,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
Contagion,2011,Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow",6.8,106,Drama,2011-09-09,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
The Skeleton Twins,2014,Craig Johnson,"Kristen Wiig, Bill Hader, Luke Wilson, Ty Burrell",6.8,93,Comedy,2014-09-11,"Having both coincidentally cheated death on the same day, estranged twins reunite with the possibility of mending their relationship."
Anonymous,2011,Roland Emmerich,"Rhys Ifans, Vanessa Redgrave, David Thewlis, Sebastian Armesto",6.8,130,Drama,2011-10-28,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her."
